iter	Logloss
0	0.6536389629
1	0.6161668435
2	0.5857310394
3	0.5573898238
4	0.530686298
5	0.5082347304
6	0.4879174326
7	0.4698112305
8	0.4547847467
9	0.4419169048
10	0.4304873923
11	0.420411994
12	0.4107632087
13	0.4026859088
14	0.396767442
15	0.3901974808
16	0.3843148032
17	0.3784273249
18	0.3731993199
19	0.3689503826
20	0.365061962
21	0.3618218786
22	0.3586214553
23	0.3556712949
24	0.3531154772
25	0.3507797728
26	0.3490776211
27	0.3469633821
28	0.3450646607
29	0.3440599827
30	0.3418329222
31	0.3398573977
32	0.3384097622
33	0.3369005477
34	0.3356237771
35	0.3346475246
36	0.3337707917
37	0.332512293
38	0.3312864939
39	0.330385259
40	0.3292127893
41	0.3281834623
42	0.3270162558
43	0.3262084803
44	0.3254604676
45	0.3246957705
46	0.3238511761
47	0.3232951518
48	0.3224232629
49	0.3218869935
50	0.3212768174
51	0.3207848638
52	0.3198508809
53	0.3191847131
54	0.31865348
55	0.3176043142
56	0.317123011
57	0.3167143967
58	0.3162402139
59	0.3155902643
60	0.3152043827
61	0.3149263317
62	0.31458056
63	0.3141238927
64	0.3138582849
65	0.3135007991
66	0.3130265465
67	0.3127007341
68	0.3122200774
69	0.3115307488
70	0.3111778023
71	0.3109041251
72	0.3106415077
73	0.3102391579
74	0.3099139386
75	0.3095670914
76	0.3093936067
77	0.3091901451
78	0.3088895779
79	0.3086080401
80	0.3082273942
81	0.3078641575
82	0.3075320869
83	0.3073592604
84	0.3071668727
85	0.3069930083
86	0.3067884271
87	0.3065191972
88	0.306283689
89	0.3060006179
90	0.3058230908
91	0.3056893694
92	0.305484896
93	0.3051320148
94	0.3049207179
95	0.3045975685
96	0.3043906532
97	0.3042145461
98	0.3040888312
99	0.3037977583
100	0.303594449
101	0.3033018347
102	0.3031295605
103	0.3025634229
104	0.3023341807
105	0.3021255443
106	0.3019876143
107	0.3017716797
108	0.3014194311
109	0.3012934367
110	0.3011247959
111	0.3008035048
112	0.3006465326
113	0.3004479912
114	0.3003082749
115	0.3001728267
116	0.3000618601
117	0.2999118347
118	0.2996710627
119	0.299490827
120	0.2992906392
121	0.2991658771
122	0.2990572047
123	0.2989176007
124	0.2987356432
125	0.2985867993
126	0.2984374232
127	0.2981001137
128	0.2980132276
129	0.2979038005
130	0.2977374147
131	0.2975993068
132	0.297380125
133	0.297219539
134	0.2970868413
135	0.2968597316
136	0.2967495128
137	0.2964915478
138	0.2963288323
139	0.2962093909
140	0.2961169972
141	0.2960112
142	0.295884991
143	0.2958131916
144	0.2956928238
145	0.2955577996
146	0.2954728238
147	0.2953681662
148	0.295277816
149	0.2951521126
150	0.295063851
151	0.2949586214
152	0.294916094
153	0.294775798
154	0.2946720672
155	0.2945857904
156	0.2944893196
157	0.2943960728
158	0.2943364961
159	0.2942019935
160	0.2940931615
161	0.2938638984
162	0.2937683021
163	0.2934115979
164	0.2931589247
165	0.2931017138
166	0.2930009733
167	0.2929376572
168	0.2928717879
169	0.2927865328
170	0.2926789951
171	0.2925732093
172	0.2924239424
173	0.2923308469
174	0.2922354353
175	0.2921538705
176	0.2920843038
177	0.2920266679
178	0.2919791897
179	0.2918657389
180	0.2917582781
181	0.291632528
182	0.2914916474
183	0.2914014799
184	0.2913665211
185	0.2910889363
186	0.2909906168
187	0.2908143271
188	0.2907033305
189	0.2905857537
190	0.2904937297
191	0.2902554885
192	0.289952881
193	0.2898888214
194	0.2898000049
195	0.2897414574
196	0.2896361933
197	0.2895444213
198	0.2894921061
199	0.2894226395
200	0.2893882002
201	0.2892730246
202	0.2892217269
203	0.2891494523
204	0.2890836365
205	0.2890104934
206	0.2889619464
207	0.2888943325
208	0.2887604002
209	0.2886625376
210	0.2884937467
211	0.288415992
212	0.2883347036
213	0.2882734491
214	0.288192562
215	0.2880787997
216	0.2880250943
217	0.287982414
218	0.2878733874
219	0.2877566336
220	0.287699678
221	0.2876091499
222	0.2875275344
223	0.2874458236
224	0.2873638084
225	0.2872846416
226	0.2872127005
227	0.2871493583
228	0.2870958872
229	0.2870308714
230	0.2869709472
231	0.2868785381
232	0.286829214
233	0.2866836968
234	0.2864597165
235	0.2864270243
236	0.2862206882
237	0.2861685392
238	0.2860522588
239	0.2859793605
240	0.2859138743
241	0.2858407031
242	0.2857826545
243	0.2856912518
244	0.2856424765
245	0.2855000378
246	0.2854053358
247	0.285275062
248	0.2852020056
249	0.2851522174
250	0.2850854971
251	0.2850272447
252	0.2848622839
253	0.2847320348
254	0.2846770578
255	0.2845606959
256	0.2844628107
257	0.2843581846
258	0.2843150927
259	0.2842490913
260	0.2841395454
261	0.2840449611
262	0.283972584
263	0.2838253343
264	0.2837302058
265	0.2836676057
266	0.2836031955
267	0.2835517187
268	0.2833420902
269	0.283182414
270	0.2831225415
271	0.2830677724
272	0.2829998332
273	0.2829518036
274	0.2828829549
275	0.2825540414
276	0.2824881581
277	0.2824237986
278	0.2823496277
279	0.2822876397
280	0.2822359119
281	0.2821590726
282	0.2821068293
283	0.2820526466
284	0.2819818641
285	0.2819043952
286	0.281793376
287	0.2817230281
288	0.2816187505
289	0.2815203704
290	0.2814665601
291	0.2814151153
292	0.2813619502
293	0.2812825832
294	0.2812278759
295	0.2811416616
296	0.2810888513
297	0.2810280132
298	0.2809872251
299	0.2809219849
300	0.280870806
301	0.280774923
302	0.2807253424
303	0.2806707962
304	0.2806173003
305	0.280556075
306	0.2805086085
307	0.2804561126
308	0.2803936603
309	0.2803547748
310	0.280286533
311	0.2801886072
312	0.2800377358
313	0.2799717761
314	0.2799003246
315	0.2798516453
316	0.2797836029
317	0.2797479674
318	0.2796501798
319	0.2795981673
320	0.2795486003
321	0.2794943299
322	0.2794442058
323	0.2793962042
324	0.2793133518
325	0.2792580964
326	0.279149558
327	0.2790936331
328	0.2790503878
329	0.2789970426
330	0.2789444733
331	0.2788819163
332	0.2788150004
333	0.2787396653
334	0.2786986021
335	0.278643378
336	0.2785921317
337	0.2785426813
338	0.2785126076
339	0.2784523541
340	0.278373422
341	0.2782395802
342	0.2781695995
343	0.2781191621
344	0.2779397491
345	0.2778868636
346	0.2778383085
347	0.2777756001
348	0.2777495136
349	0.277688186
350	0.2776246865
351	0.2775738939
352	0.2775098484
353	0.2774607485
354	0.2774336536
355	0.2773557468
356	0.2773014543
357	0.2772476703
358	0.2771790135
359	0.2770367681
360	0.2769805647
361	0.2766680676
362	0.276622478
363	0.2765771239
364	0.2763993629
365	0.2763384025
366	0.2762932877
367	0.2762647479
368	0.2762293712
369	0.2761463222
370	0.2761046423
371	0.2760261433
372	0.2759741126
373	0.2759275421
374	0.2758780477
375	0.2758210096
376	0.275801572
377	0.2756711867
378	0.2756165094
379	0.2755711423
380	0.2755111317
381	0.275459752
382	0.2754179934
383	0.2753903859
384	0.2753446119
385	0.2752617969
386	0.2752214951
387	0.2751858348
388	0.2751616102
389	0.275120096
390	0.2750080467
391	0.2749545623
392	0.2749136452
393	0.2748764501
394	0.2748195637
395	0.2747661719
396	0.2747130218
397	0.2746680456
398	0.27461048
399	0.2745709397
400	0.2745245268
401	0.274497939
402	0.2744491829
403	0.274392869
404	0.2741257492
405	0.2738916537
406	0.2737411705
407	0.2736990042
408	0.2735481994
409	0.2735031098
410	0.2734693068
411	0.2734432483
412	0.2733843608
413	0.2733271917
414	0.2732873167
415	0.2732344521
416	0.2731929506
417	0.2731648905
418	0.273143996
419	0.2731065525
420	0.2730817598
421	0.272951806
422	0.2729226425
423	0.2728716571
424	0.2728493807
425	0.2727842975
426	0.2727070641
427	0.2726535164
428	0.2726243556
429	0.2725995364
430	0.2725832352
431	0.2725572138
432	0.2725302688
433	0.2724958237
434	0.2724302398
435	0.272375752
436	0.2723171124
437	0.2722749269
438	0.2722467323
439	0.2720118066
440	0.271930224
441	0.2719076121
442	0.271860846
443	0.2717806135
444	0.2717334298
445	0.2716836936
446	0.2716434166
447	0.271599043
448	0.2715416832
449	0.2715174324
450	0.2714605328
451	0.2714154839
452	0.2711980622
453	0.2711114417
454	0.2710855794
455	0.2710483313
456	0.2709960576
457	0.2709380854
458	0.2708993071
459	0.270878895
460	0.2708361199
461	0.2708020727
462	0.2707540005
463	0.2707347447
464	0.2707076156
465	0.2706847357
466	0.2706457852
467	0.2705994506
468	0.2705434604
469	0.2705235746
470	0.2704521603
471	0.2703968568
472	0.2703811118
473	0.2703171705
474	0.2702678297
475	0.2702403844
476	0.2701688704
477	0.2701509137
478	0.2700635482
479	0.2700174426
480	0.2699581594
481	0.2699268938
482	0.2698507527
483	0.269827996
484	0.2697986867
485	0.2697638556
486	0.2695693335
487	0.2695472538
488	0.2694997683
489	0.2694701123
490	0.2694068759
491	0.2693877023
492	0.2693410941
493	0.2693107329
494	0.2692640694
495	0.2692329962
496	0.2692154899
497	0.2691816159
498	0.2691330717
499	0.2690669063
500	0.2690444316
501	0.269002577
502	0.2689623167
503	0.26890999
504	0.2688865858
505	0.2688640042
506	0.2688227468
507	0.2687773196
508	0.2687281279
509	0.2686983829
510	0.2686424863
511	0.2686182628
512	0.2686005455
513	0.2685476701
514	0.2685200803
515	0.2684759311
516	0.2684334023
517	0.2683989026
518	0.2682989735
519	0.268279527
520	0.2682342864
521	0.2681845503
522	0.2680128775
523	0.2679982801
524	0.2679840882
525	0.2679462254
526	0.2679046194
527	0.2678682273
528	0.2678200187
529	0.2677737096
530	0.267708144
531	0.2676741586
532	0.2676162315
533	0.2675975252
534	0.2675184223
535	0.2675035126
536	0.2674555494
537	0.2674080792
538	0.2673496531
539	0.267307248
540	0.2672758532
541	0.2672451877
542	0.2671955923
543	0.2671574089
544	0.2671304302
545	0.2670941184
546	0.2670676409
547	0.2670326791
548	0.266997708
549	0.2669775302
550	0.2669552827
551	0.266920911
552	0.2668938237
553	0.2668578309
554	0.2668236616
555	0.2667419919
556	0.2667242213
557	0.2666851599
558	0.2666395289
559	0.2666091485
560	0.2665943667
561	0.2665459396
562	0.2665096697
563	0.266483311
564	0.2664531059
565	0.266423637
566	0.266393382
567	0.2663748745
568	0.2663310928
569	0.2662900306
570	0.2662608752
571	0.2662172509
572	0.2661879494
573	0.2661227031
574	0.2660821547
575	0.2660242066
576	0.2659888181
577	0.2659386778
578	0.2659251607
579	0.2659067228
580	0.2658816456
581	0.2658693248
582	0.2658336825
583	0.2657894995
584	0.265750898
585	0.2657256613
586	0.2657090418
587	0.2656640674
588	0.2656376498
589	0.2655633471
590	0.2655134628
591	0.2654461529
592	0.2654216825
593	0.2653843115
594	0.2653237802
595	0.2652941057
596	0.2652515718
597	0.2652233558
598	0.2651913598
599	0.2651678862
600	0.2651225488
601	0.2650968148
602	0.2650528299
603	0.2650353431
604	0.2649993003
605	0.2649649155
606	0.2649423654
607	0.2649147214
608	0.2648880533
609	0.2648519053
610	0.2648394138
611	0.2647738373
612	0.2647498836
613	0.2646858857
614	0.2646706521
615	0.2646454885
616	0.2646213531
617	0.2646043318
618	0.264585349
619	0.264543526
620	0.2645113035
621	0.2644816375
622	0.2644591865
623	0.2644215599
624	0.2643911388
625	0.2643509002
626	0.2643144552
627	0.2643019375
628	0.2642634085
629	0.2642297123
630	0.2642193349
631	0.2642113047
632	0.2641707388
633	0.2641407785
634	0.2640765784
635	0.2640605482
636	0.2640348563
637	0.2640269852
638	0.264004516
639	0.2639833109
640	0.2639618234
641	0.2639157714
642	0.2638850214
643	0.2638671294
644	0.2638455478
645	0.2637865369
646	0.2637690573
647	0.2637393882
648	0.263709592
649	0.2636959711
650	0.2636742968
651	0.263616158
652	0.2635854595
653	0.2635752292
654	0.2635552672
655	0.2635322698
656	0.2634924861
657	0.2634549595
658	0.2634136735
659	0.2633773647
660	0.2633646052
661	0.2633526079
662	0.2632924308
663	0.263250533
664	0.2632250422
665	0.2631656773
666	0.26315149
667	0.2631231218
668	0.2630159196
669	0.2629883734
670	0.2629615123
671	0.2629443354
672	0.2629353278
673	0.2628818407
674	0.2628562527
675	0.262818254
676	0.2628093347
677	0.2627691842
678	0.262733809
679	0.2627040824
680	0.2626572598
681	0.2626475858
682	0.2625880628
683	0.2625477815
684	0.2625063048
685	0.2624600329
686	0.262407313
687	0.2623828688
688	0.2623449924
689	0.2623108317
690	0.2622899983
691	0.2622498375
692	0.2622360394
693	0.2622184736
694	0.2621839596
695	0.2621401745
696	0.2621172867
697	0.2620977738
698	0.2620593153
699	0.2620440793
700	0.2620307794
701	0.2619994879
702	0.2619783079
703	0.2619391204
704	0.2619134237
705	0.2618717019
706	0.2618526244
707	0.2618170553
708	0.2617783164
709	0.2617436747
710	0.2616796953
711	0.2616280016
712	0.2616063778
713	0.2615676444
714	0.2615291775
715	0.261504378
716	0.2614725128
717	0.2614448853
718	0.2614167039
719	0.2613951521
720	0.2613624652
721	0.2613133188
722	0.2612931924
723	0.2612339173
724	0.2612039293
725	0.2611891126
726	0.2611517513
727	0.2611191489
728	0.2610931058
729	0.2610489725
730	0.2610141296
731	0.2609754878
732	0.2609640077
733	0.2609422483
734	0.2609190058
735	0.2608816057
736	0.2608621571
737	0.2607910713
738	0.2607041263
739	0.2606656964
740	0.2606236588
741	0.2605858611
742	0.2605583199
743	0.2605048592
744	0.2604852233
745	0.260442895
746	0.2604212194
747	0.260390866
748	0.2603716629
749	0.2603375488
750	0.2603188042
751	0.2603111061
752	0.2602745959
753	0.2602233717
754	0.2602143739
755	0.2601780222
756	0.2601007884
757	0.260079909
758	0.2600618921
759	0.260005519
760	0.259998907
761	0.2599875739
762	0.259940806
763	0.2599192124
764	0.2598955491
765	0.2598732378
766	0.2598522129
767	0.2598087034
768	0.259776426
769	0.259731332
770	0.259724104
771	0.2596953869
772	0.259647047
773	0.2596104455
774	0.2595679557
775	0.2595540906
776	0.2595060453
777	0.2594872265
778	0.2594794045
779	0.2594415553
780	0.2594082266
781	0.2593732714
782	0.2593650512
783	0.2593062148
784	0.2592820138
785	0.2592525392
786	0.2592199044
787	0.2591731683
788	0.2591461007
789	0.2590975361
790	0.2590865151
791	0.259042968
792	0.2590299429
793	0.2589800979
794	0.2589715758
795	0.2589173325
796	0.2589129281
797	0.2588948063
798	0.2588701732
799	0.2588548508
800	0.2588293776
801	0.258800019
