iter	Passed	Remaining
0	311	311014
1	481	240467
2	662	220286
3	822	204877
4	1017	202504
5	1219	201980
6	1414	200705
7	1605	199048
8	1803	198622
9	1994	197462
10	2203	198081
11	2419	199177
12	2608	198032
13	2788	196416
14	2982	195870
15	3204	197081
16	3431	198407
17	3636	198367
18	3831	197816
19	4004	196230
20	4208	196177
21	4409	196026
22	4608	195747
23	4815	195816
24	4993	194756
25	5199	194768
26	5378	193826
27	5548	192596
28	5756	192741
29	5968	192995
30	6192	193568
31	6389	193274
32	6593	193199
33	6787	192848
34	6985	192598
35	7157	191655
36	7367	191757
37	7549	191126
38	7723	190311
39	7892	189413
40	8082	189057
41	8265	188529
42	8463	188365
43	8658	188121
44	8860	188029
45	9030	187274
46	9217	186897
47	9415	186744
48	9636	187032
49	9815	186501
50	9984	185784
51	10172	185460
52	10367	185254
53	10550	184826
54	10724	184263
55	10910	183921
56	11081	183332
57	11263	182933
58	11452	182652
59	11631	182229
60	11808	181778
61	11978	181229
62	12162	180892
63	12330	180331
64	12501	179824
65	12671	179325
66	12851	178959
67	13019	178441
68	13166	177653
69	13352	177399
70	13539	177159
71	13718	176813
72	13888	176361
73	14071	176078
74	14252	175785
75	14437	175532
76	14635	175441
77	14817	175151
78	14987	174724
79	15155	174293
80	15344	174090
81	15510	173639
82	15684	173288
83	15866	173024
84	16037	172638
85	16195	172125
86	16385	171953
87	16535	171365
88	16716	171109
89	16895	170827
90	17058	170394
91	17215	169905
92	17391	169610
93	17583	169473
94	17757	169160
95	17939	168926
96	18116	168650
97	18299	168433
98	18454	167951
99	18596	167370
100	18759	166976
101	18904	166432
102	19083	166193
103	19231	165687
104	19418	165519
105	19576	165111
106	19757	164891
107	19909	164434
108	20098	164291
109	20332	164510
110	20522	164361
111	20696	164091
112	20873	163844
113	21031	163453
114	21173	162941
115	21354	162732
116	21543	162591
117	21737	162479
118	21888	162045
119	22037	161611
120	22176	161096
121	22334	160733
122	22489	160350
123	22646	159985
124	22824	159772
125	23000	159546
126	23153	159156
127	23310	158804
128	23505	158707
129	23742	158889
130	23895	158513
131	24078	158334
132	24247	158062
133	24414	157784
134	24572	157443
135	24741	157181
136	24917	156961
137	25068	156589
138	25255	156437
139	25413	156110
140	25569	155773
141	25732	155484
142	25898	155210
143	26059	154909
144	26238	154716
145	26406	154458
146	26559	154119
147	26757	154035
148	26954	153949
149	27159	153905
150	27315	153584
151	27487	153349
152	27668	153173
153	27850	152998
154	28023	152772
155	28174	152430
156	28329	152112
157	28505	151909
158	28670	151648
159	28826	151338
160	28974	150992
161	29148	150778
162	29320	150558
163	29498	150371
164	29665	150123
165	29827	149855
166	29986	149571
167	30171	149419
168	30337	149176
169	30517	148998
170	30688	148777
171	30865	148584
172	31038	148375
173	31219	148200
174	31392	147993
175	31549	147709
176	31715	147467
177	31884	147243
178	32045	146979
179	32222	146793
180	32400	146607
181	32548	146289
182	32706	146016
183	32867	145761
184	33021	145474
185	33190	145251
186	33361	145040
187	33518	144771
188	33710	144649
189	33871	144398
190	34041	144187
191	34215	143992
192	34381	143760
193	34567	143615
194	34745	143438
195	34963	143423
196	35132	143204
197	35301	142987
198	35461	142735
199	35625	142502
200	35797	142297
201	35958	142054
202	36128	141843
203	36295	141625
204	36446	141341
205	36613	141121
206	36776	140887
207	36938	140649
208	37090	140374
209	37265	140187
210	37431	139970
211	37611	139801
212	37791	139632
213	37965	139443
214	38140	139257
215	38298	139009
216	38477	138837
217	38664	138695
218	38855	138567
219	39019	138341
220	39200	138176
221	39358	137933
222	39495	137613
223	39659	137392
224	39805	137106
225	39959	136852
226	40130	136654
227	40305	136471
228	40468	136251
229	40643	136066
230	40857	136015
231	41035	135840
232	41214	135673
233	41374	135439
234	41538	135221
235	41692	134969
236	41848	134728
237	42003	134483
238	42172	134281
239	42328	134038
240	42498	133843
241	42681	133688
242	42898	133638
243	43084	133492
244	43254	133294
245	43455	133193
246	43637	133031
247	43817	132866
248	43991	132680
249	44153	132459
250	44309	132223
251	44485	132044
252	44652	131839
253	44798	131574
254	44945	131311
255	45098	131067
256	45249	130820
257	45414	130610
258	45561	130350
259	45715	130114
260	45868	129872
261	46030	129659
262	46197	129459
263	46353	129226
264	46531	129059
265	46693	128845
266	46851	128622
267	47035	128469
268	47191	128241
269	47343	128003
270	47510	127805
271	47680	127616
272	47831	127376
273	47982	127135
274	48132	126893
275	48283	126657
276	48438	126428
277	48606	126237
278	48764	126019
279	48926	125812
280	49087	125600
281	49262	125427
282	49419	125206
283	49564	124957
284	49718	124732
285	49878	124521
286	50032	124296
287	50220	124156
288	50389	123967
289	50546	123750
290	50722	123581
291	50880	123366
292	51053	123191
293	51219	122995
294	51386	122806
295	51546	122596
296	51693	122358
297	51856	122159
298	52011	121940
299	52180	121753
300	52336	121537
301	52484	121305
302	52624	121053
303	52790	120861
304	52930	120613
305	53098	120425
306	53245	120193
307	53407	119993
308	53548	119748
309	53719	119569
310	53859	119321
311	54020	119123
312	54169	118896
313	54338	118713
314	54496	118509
315	54660	118314
316	54828	118131
317	55020	118000
318	55190	117821
319	55366	117654
320	55524	117449
321	55670	117219
322	55826	117011
323	55986	116810
324	56139	116597
325	56286	116371
326	56445	116171
327	56593	115946
328	56724	115689
329	56874	115472
330	57038	115282
331	57178	115045
332	57326	114824
333	57475	114607
334	57630	114400
335	57793	114211
336	57972	114052
337	58167	113926
338	58340	113754
339	58501	113561
340	58662	113368
341	58850	113226
342	59031	113071
343	59206	112906
344	59385	112745
345	59552	112564
346	59697	112341
347	59872	112174
348	60037	111989
349	60191	111783
350	60348	111585
351	60507	111389
352	60655	111172
353	60809	110968
354	60961	110760
355	61106	110540
356	61271	110358
357	61429	110160
358	61580	109953
359	61745	109770
360	61903	109574
361	62063	109383
362	62212	109171
363	62369	108975
364	62512	108755
365	62689	108593
366	62835	108379
367	63000	108196
368	63149	107987
369	63301	107783
370	63467	107604
371	63632	107423
372	63781	107214
373	63950	107040
374	64114	106857
375	64278	106674
376	64457	106517
377	64598	106297
378	64761	106112
379	64918	105919
380	65120	105799
381	65289	105625
382	65444	105428
383	65617	105261
384	65777	105073
385	65917	104852
386	66067	104649
387	66255	104505
388	66432	104344
389	66602	104172
390	66777	104009
391	66961	103857
392	67114	103660
393	67257	103446
394	67397	103229
395	67552	103035
396	67724	102866
397	67888	102685
398	68023	102461
399	68146	102220
400	68285	102003
401	68433	101798
402	68573	101583
403	68732	101396
404	68884	101200
405	69033	100999
406	69206	100834
407	69376	100663
408	69558	100511
409	69734	100349
410	69878	100141
411	70046	99968
412	70189	99760
413	70335	99556
414	70529	99420
415	70691	99240
416	70832	99029
417	70994	98849
418	71145	98652
419	71306	98470
420	71440	98252
421	71612	98085
422	71748	97869
423	71916	97697
424	72056	97488
425	72180	97257
426	72286	97003
427	72410	96773
428	72521	96526
429	72630	96277
430	72742	96033
431	72855	95791
432	72988	95575
433	73101	95335
434	73210	95089
435	73355	94891
436	73498	94690
437	73644	94494
438	73820	94335
439	74001	94184
440	74127	93962
441	74268	93759
442	74448	93607
443	74647	93477
444	74827	93324
445	74979	93136
446	75138	92956
447	75305	92787
448	75433	92569
449	75580	92375
450	75750	92210
451	75883	92000
452	76009	91782
453	76134	91562
454	76243	91325
455	76373	91111
456	76538	90941
457	76679	90743
458	76830	90555
459	76997	90388
460	77136	90188
461	77291	90006
462	77428	89803
463	77567	89604
464	77723	89424
465	77848	89208
466	78006	89031
467	78183	88875
468	78329	88684
469	78494	88514
470	78687	88377
471	78820	88172
472	78976	87992
473	79147	87830
474	79309	87657
475	79470	87483
476	79610	87288
477	79779	87122
478	79931	86940
479	80098	86773
480	80242	86581
481	80400	86405
482	80540	86210
483	80700	86036
484	80844	85845
485	81006	85673
486	81166	85500
487	81337	85338
488	81449	85114
489	81571	84900
490	81727	84723
491	81847	84509
492	81967	84294
493	82101	84095
494	82219	83880
495	82343	83671
496	82501	83497
497	82652	83316
498	82784	83115
499	82911	82911
500	83040	82708
501	83177	82514
502	83297	82303
503	83418	82094
504	83549	81895
505	83674	81689
506	83797	81483
507	83947	81303
508	84093	81119
509	84212	80910
510	84319	80689
511	84435	80477
512	84553	80268
